Başkent,Enlem,Boylam
Ankara,39.9334,32.8597
Washington,38.8951,-77.0364
Londra,51.5074,-0.1278
Paris,48.8566,2.3522
Berlin,52.5200,13.4050
Tokyo,35.6895,139.6917
Moskova,55.7558,37.6173
Pekin,39.9042,116.4074
Roma,41.9028,12.4964
Madrid,40.4168,-3.7038
Ottawa,45.4215,-75.6972
Canberra,-35.2809,149.1300
Brasília,-15.8267,-47.9218
Yeni Delhi,28.6139,77.2090
Kahire,30.0444,31.2357
Buenos Aires,-34.6037,-58.3816
Pretoria,-25.7479,28.2293
Oslo,59.9139,10.7522
Stockholm,59.3293,18.0686
Kopenhag,55.6761,12.5683
Helsinki,60.1695,24.9354
Reykjavik,64.1265,-21.8174
Lizbon,38.7223,-9.1393
Dublin,53.3498,-6.2603
Riga,56.9496,24.1052
Tallinn,59.4370,24.7536
Vilnius,54.6872,25.2797
Varşova,52.2297,21.0122
Prag,50.0755,14.4378
Budapeşte,47.4979,19.0402
Bükreş,44.4268,26.1025
Sofya,42.6977,23.3219
Atina,37.9838,23.7275
Kiev,50.4501,30.5234
Minsk,53.9045,27.5615
Bakü,40.4093,49.8671
Tiflis,41.7151,44.8271
Astana,51.1605,71.4704
Bishkek,42.8746,74.5698
Dushanbe,38.5858,68.7734
Taşkent,41.2995,69.2401
Aşkabat,37.9601,58.3261
Baku,40.4093,49.8671
Yerevan,40.1872,44.5152
Tbilisi,41.7151,44.8271
Ashgabat,37.9601,58.3261
Tashkent,41.2995,69.2401
Nur-Sultan,51.1605,71.4704
Başkent,Enlem,Boylam
Abu Dabi,24.4539,54.3773
Addis Ababa,9.0300,38.7400
Algiers,36.7372,3.0865
Amman,31.9539,35.9106
Amsterdam,52.3676,4.9041
Andorra la Vella,42.5078,1.5211
Asuncion,-25.2637,-57.5759
Athens,37.9838,23.7275
Baghdad,33.3152,44.3661
Bamako,12.6392,-8.0029
Bangkok,13.7563,100.5018
Beijing,39.9042,116.4074
Beirut,33.8938,35.5018
Belgrade,44.7866,20.4489
Bern,46.9481,7.4474
Bogota,4.7110,-74.0721
Bratislava,48.1486,17.1077
Brussels,50.8503,4.3517
Bucharest,44.4268,26.1025
Budapest,47.4979,19.0402
Cairo,30.0444,31.2357
Caracas,10.4806,-66.9036
Castries,14.0101,-60.9875
Chisinau,47.0105,28.8638
Colombo,6.9271,79.8612
Conakry,9.6412,-13.5784
Copenhagen,55.6761,12.5683
Dakar,14.6928,-17.4467
Damascus,33.5138,36.2765
Dhaka,23.8103,90.4125
Dili,-8.5569,125.5603
Djibouti,11.8251,42.5903
Dodoma,-6.1630,35.7516
Doha,25.2760,51.5200
Freetown,8.4657,-13.2317
Gaborone,-24.6282,25.9231
Georgetown,6.8013,-58.1551
Guatemala City,14.6349,-90.5069
Hanoi,21.0285,105.8542
Harare,-17.8252,31.0335
Havana,23.1136,-82.3666
Islamabad,33.6844,73.0479
Jakarta,-6.2088,106.8456
Jerusalem,31.7683,35.2137
Kabul,34.5553,69.2075
Kampala,0.3476,32.5825
Kathmandu,27.7172,85.3240
Khartoum,15.5007,32.5599
Kigali,-1.9441,30.0619
Kingston,18.0179,-76.8099
Kinshasa,-4.4419,15.2663
Kuala Lumpur,3.1390,101.6869
Kuwait City,29.3759,47.9774
Libreville,0.4162,9.4673
Lilongwe,-13.9626,33.7741
Lima,-12.0464,-77.0428
Lisbon,38.7223,-9.1393
Ljubljana,46.0569,14.5058
Lome,6.1725,1.2314
London,51.5074,-0.1278
Luanda,-8.8390,13.2894
Lusaka,-15.3875,28.3228
Majuro,7.1164,171.1850
Malabo,3.7500,8.7833
Male,4.1755,73.5093
Managua,12.1364,-86.2514
Manama,26.2235,50.5876
Manila,14.5995,120.9842
Maputo,-25.9692,32.5732
Maseru,-29.3158,27.4860
Mbabane,-26.3054,31.1367
Mexico City,19.4326,-99.1332
Mogadishu,2.0469,45.3182
Monaco,43.7384,7.4246
Monrovia,6.3156,-10.8074
Montevideo,-34.9011,-56.1645
Moroni,-11.7172,43.2473
Moscow,55.7558,37.6173
Muscat,23.5880,58.3829
Nairobi,-1.2921,36.8219
Nassau,25.0343,-77.3963
Naypyidaw,19.7633,96.0785
N'Djamena,12.1348,15.0557
